Game ,Creator Name,Description,Created In,Release Date,Last Update,Age Rating,Tags,Players Now,ALL Time Peak
SKYBOX,bifrost,SANDBOX IN THE SKY! HIT CHEST!UPGRADE EVERYTHING! BUILD A SKYTOWN! EXPLORE A MASSIVE WORLD IN THE SKY,Creative 1.0,"Feb 4, 2023","May 31, 2024",Teen / 7,"creatures, open world, tycoon, pve, ","1,833","15,910"
 GO GOATED! Zone Wars  *NEW WEAPONS*,theboydilly, 4 Teams Battle  Classic Zone Wars Game Select Your Team Eliminations Save ,UEFN,"Jun 2, 2021","June 5, 2024",Teen / 7,"practice, pvp, zonewars, ","25,953","111,777"
180 LEVEL OBBY PARKOUR ,s.w.a.t, 180 STAGES Extra stages with Random gifts Time Your Run Shop Custom HUD Leaderboard Made In UEFN/Verse Updated ,UEFN,"Mar 28, 2024","April 16, 2024",Teen / 7,,"2,392","2,508"
Ranked Battle Royale,epic,"Just like classic Battle Royale, with a little more to play for!Battle it out against other players of similar rank. Show off your skills, complete challenges for rewards, and climb the ranks.",Unknown,"Apr 11, 2023","April 11, 2023",Teen / 12,,"190,181","1,440,170"
Team Rumble,epic,"Two large teams fight for the Victory Royale in an action-packed mode where the first team to get the target number of eliminations wins! Respawn on elimination is ON for the entire match, and gliders can be freely deployed whenever you are far enough from the ground.",Unknown,"Aug 3, 2021","October 1, 2021",Teen / 12,,"4,307","53,197"
 RED VS BLUE  RUMBLE,rvb, New All Ch5 Weapons Added ENDLESS TEAM DEATHMATCH COMBAT POWERUPS AND SECRETS  Rank up from BRONZE to UNREAL 50 Gold Coins per Elimination OP Vault Eliminations and Ranks Save,UEFN,"Mar 6, 2021","June 7, 2024",Teen / 12,,"6,565","26,756"
LEGO Fortnite,epic,"Explore vast, open worlds where the magic of LEGO building and Fortnite collide. Find the ultimate survival crafting LEGO adventure in Fortnite!",LEGO,"Aug 11, 2022","August 11, 2022",Everyone 10+ / 7,"survival, co-op, open world, sandbox, ","67,482","2,447,763"
OnlyUp Fortnite! ,army,"OnlyUp Fortnite, with an Altitude Meter and Timer! If you fall, you restart from the beginning... Don't fall and reach the top by passing every season of Fortnite Chapter 1! ",UEFN,"Jun 15, 2023","May 25, 2024",Everyone / 3,,"6,207","113,933"
Prison Breakout RP,fnbreakout,"Prison Breakout is an open world game of Cops and Robbers, escape prison to start your adventure, or be a guard and protect the city!  24 Player Lobby Plan and Complete Heists Upgrade your gear Purchase Apartments & Villas Find Secrets Complete Quests Unlock Achievements 1st & 3rd Person View Progress Saves",UEFN,"Jan 10, 2021","June 6, 2024",Teen / 12,"role playing, open world, just for fun, race, ","1,795","31,222"
MURDER MYSTERY,goodgamers, Survivors: Survive the Murderer Murderer: Eliminate all Survivors Sheriff: Eliminate the Murderer,UEFN,"Oct 20, 2023","June 9, 2024",Teen / 7,"party game, role playing, survival horror, ","5,628","36,210"
MUSHROOM TYCOON ,bpascteam,"X1.5 EVENT is here!Build the best Mushroom Base Beat 2 parkour challenges!Collect treasure chests on the mapDifferent pets, Boosts and TrailsFind all the secret",UEFN,"Jan 31, 2024","May 25, 2024",Teen / 12,"just for fun, tycoon, simulator, casual, ","5,439","5,484"
Bed Wars Klombos [PvP BedWars],voldex, Chapter 5 Weapons & Mods! Defend Your Klombo (Bed)! Break Rival Klombos! 4v4v4v4 Battle!,UEFN,"Mar 2, 2022","June 8, 2024",Teen / 12,"base, tycoon, pvp, practice, ","1,827","25,277"
  PRO,awa,"2-20 players compete, either team of the two teams for first place! in an atmosphere of enthusiasm and suspense in this creative map.",UEFN,"Jul 13, 2020","June 8, 2024",Teen / 12,"team deathmatch, action, capture the flag, base, ","3,518","11,812"
PANDVIL Box Fight (2v2) ,pandvil,"Made By PANDVIL(2 vs 2) Box Fight MatchmakingNear 0 wait between roundsRanks, Cosmetics and much moreWhen eliminated spectate OR parkourLIFETIME WIN & ELIMINATION leaderboards",UEFN,"Nov 10, 2020","June 6, 2024",Teen / 12,,"6,683","89,676"
Ranked Battle Royale,epic,"Just like classic Battle Royale, with a little more to play for!Battle it out against other players of similar rank. Show off your skills, complete challenges for rewards, and climb the ranks.",Unknown,"Apr 11, 2023","April 11, 2023",Teen / 12,,"143,470","1,440,170"
TILTED ZONE WARS ,prettyboy, Classic Solo Zone Wars  Fun Loot & Items  Name Tags ON  Nostalgic ,UEFN,"Aug 6, 2019","June 5, 2024",Teen / 12,"practice, zonewars, pvp, free for all, ","6,055","212,530"
MURDER MYSTERY,goodgamers, Survivors: Survive the Murderer Murderer: Eliminate all Survivors Sheriff: Eliminate the Murderer,UEFN,"Oct 20, 2023","June 9, 2024",Teen / 7,"party game, role playing, survival horror, ","9,045","36,210"
CRAZY RED VS BLUE ,rvb, All Weapons Very Fun Red Vs Blue 10 Coins Per Elimination Custom Scoreboard SAVES Eliminations CHAPTER 5 WEAPONS,UEFN,"Jun 14, 2023","June 9, 2024",Teen / 12,"team deathmatch, practice, pvp, ","20,919","163,049"
Rocket Racing,epic,Neon Rush lights up in Rocket Racing. Test your limits on all-new Neon Rush themed tracks for Speed Run and Ranked Racing. Try the Creator Rows to race with your friends on tracks made by the UEFN creator community.,Rocket Racing,"Nov 30, 2023","December 2, 2023",Everyone / 3,,"4,672","625,683"
